,speaker_id,demographic
0,41,"I am a 33-year-old male of the White race. I have completed some college but have not obtained a degree. Currently, I earn 50000 USD."
5,170,I am a 24-year-old male of Asian/Pacific Islander race. I have earned a four-year bachelor's degree and currently earn a income of 45000 USD.
10,283,I am a 25-year-old female of the White race. I have a four-year bachelor's degree and earn 75000 USD.
15,297,I am a 31-year-old female of the White race. I have a four-year bachelor's degree and earn 32000 USD.
20,179,I am a 43-year-old male of Asian/Pacific Islander descent. I obtained a four-year bachelor's degree and my income is 50000 USD.
25,171,I am a 25-year-old male who is Asian/Pacific Islander. I hold a four-year bachelor's degree and my income is 45000 USD.
30,177,I am a 36-year-old male of Asian/Pacific Islander descent. I have a four-year bachelor's degree and my yearly income is 50000 USD.
35,80,I am a 28-year-old male of the White race. I completed a two-year associate degree and earn 62000 USD.
40,272,I am a 41-year-old female of Hispanic or Latino race. I completed a two-year associate degree and earn 60000 USD.
45,237,I am a 38-year-old female of the White race. I have attained some college education but no degree and earn 20000 USD.
50,43,"I am a 34-year-old male of the White race. I have completed some college but have not obtained a degree, and my income is 55000 USD."
55,190,I am a 47-year-old male of the White race. I have a postgraduate or professional degree and earn 54000 USD.
60,59,"I am a 47-year-old male of the White race. I have completed some college but do not have a degree, and my income is 14000 USD."
65,232,I am a 34-year-old female of the White race. I have completed some college but no degree and earn 90000 USD.
70,300,I am a 32-year-old female of the White race. I have a four-year bachelor's degree and earn 50000 USD.
75,325,I am a 45-year-old female of the White race. I have a four-year bachelor's degree and earn 30000 USD.
80,13,I am a 37-year-old male of the white race. I have a high school diploma and earn 12000 USD.
85,30,I am a 26-year-old male of the White race. I have completed some college but no degree and earn 35000 USD.
90,241,I am a 47-year-old female of the White race. I have some college education but no degree and earn 79000 USD.
95,205,I am a 40-year-old female of the White race. I have a high school diploma and earn 85000 USD.
100,327,I am a 46-year-old female of the White race. I completed a four-year bachelor's degree and earn 100000 USD.
105,367,I am a 32-year-old individual of the White race. I have completed a four-year bachelor's degree and currently earn 8000 USD.
110,67,I am a 30-year-old male of Hispanic or Latino ethnicity. I have completed some college but have yet to earn a degree. My income is 19000 USD.
115,92,I am a 27-year-old male of other gender. I completed a two-year associate degree and earn 100000 USD.
120,56,I am a 44-year-old male of the White race. I completed some college but have no degree and earn 35000 USD.
125,79,I am a 28-year-old male of the White race. I completed a two-year associate degree and earn 39000 USD.
130,302,I am a 32-year-old female of the White race. I have completed a four-year bachelor's degree and earn 70000 USD.
135,280,I am a 23-year-old female of the White race. I have a four-year bachelor's degree and my income is 50000 USD.
140,37,I am a 30-year-old male of the White race. I have completed some college but no degree and earn 55000 USD.
145,260,I am a 31-year-old female of White race. I have a two-year associate degree and my income is 92500 USD.
150,95,I am a 23-year-old male of the White race. I have a four-year bachelor's degree and earn 44000 USD.
155,101,I am a 27-year-old white male. I have obtained a four-year bachelor's degree and my current income is 40000 USD.
160,98,I am a 25-year-old male of the White race. I have a four-year bachelor's degree and earn 50000 USD.
165,132,"I am a 39-year-old male of the White race. I have a four-year bachelor's degree and my income is 30,000 USD."
170,117,I am a 32-year-old male of the White race. I have a four-year bachelor's degree in education and earn 75000 USD.
175,264,I am a 37-year-old female of the White race. I completed a two-year associate degree and earn 29999 USD.
180,158,I am a 30-year-old male of the Black or African American ethnicity. I have a four-year bachelor's degree and my income is 30000 USD.
185,277,I am a 26-year-old female of Native American or American Indian descent. I have completed a two-year associate degree and earn 45000 USD.
190,160,I am a 30-year-old male of Black or African American race. I have a four-year bachelor's degree and my income is 40000 USD.
195,23,I am a 37-year-old male of the White race. I completed technical/vocational school and earn 25000 USD.
200,94,I am a 23-year-old male of the White race. I have completed a four-year bachelor's degree and earn 42000 USD.
205,294,I am a 29-year-old female of the White race. I have completed a four-year bachelor's degree and my annual income is 50000 USD.
210,138,I am a 46-year-old male of the White race. I have a four-year bachelor's degree and earn 240000 USD.
215,153,I am a 38-year-old male of Hispanic or Latino race. I have completed a four-year bachelor's degree and earn 46000 USD.
220,281,I am a 23-year-old female of the White race. I have a four-year bachelor's degree and earn 65000 USD.
225,358,"I am a 31-year-old female of the White race. I have earned a postgraduate or professional degree and my annual income is 100000 USD."""
230,215,I am a 24-year-old female of the White race. I completed a technical/vocational school and earn 50000 USD.
235,324,I am a 45-year-old female of the White race. I have a four-year bachelor’s degree and earn 19000 USD.
240,11,I am a 34-year-old male of the White race. I have a high school diploma and earn 59000 USD.
245,100,I am a 27-year-old male of the White race. I have a four-year bachelor’s degree and earn 20000 USD.
250,259,I am a 30-year-old female of the White race. I completed a two-year associate degree and earn 55000 USD.
255,128,I am a 35-year-old male of the White race. I have obtained a four-year bachelor's degree and my annual income is 70000 USD.
260,20,I am a 29-year-old male of other gender. I have a high school diploma and my income is 26000 USD.
265,154,I am a 22-year-old male of the Black or African American race. I hold a four-year bachelor’s degree and my income is 150000 USD.
270,356,I am a 30-year-old female of the White race. I have a postgraduate or professional degree qualification and earn 160000 USD.
275,194,I am a 30-year-old male of Hispanic or Latino ethnicity. I have a postgraduate or professional degree and my annual income is 60000 USD.
280,52,I am a 41-year-old male of the White race. I have completed some college but did not receive a degree. My income is 12500 USD.
285,295,"I am a 29-year-old female of the white race. I have a four-year bachelor's degree, and I earn 62000 USD."
290,235,I am a 36-year-old female of the White race. I have completed some college but no degree and earn 52000 USD.
295,25,I am a 20-year-old male of the White race. I have completed some college but have not yet earned a degree. I earn 350000 USD.
300,307,I am a 34-year-old female of the White race. I have completed a four-year bachelor's degree and earn 60000 USD.
305,71,I am a 30-year-old male of Black or African American race. I have completed some college but no degree and my income is 60000 USD.
310,227,I am a 31-year-old female of the White race. I have some college education but no degree and earn 24000 USD.
315,131,I am a 38-year-old male of the White race. I completed a four-year bachelor's degree and earn 50000 USD.
320,323,"I am a 42-year-old woman of the White race. I hold a four-year bachelor's degree and earn an income of 105,000 USD."
325,115,I am a 32-year-old male of the White race. I have completed a four-year bachelor's degree and have an annual income of 39000 USD.
330,229,I am a 32-year-old female of the White race. I have completed some college but no degree and earn 25000 USD.
335,320,I am a 42-year-old female of the White race. I hold a four-year bachelor's degree and earn 70500 USD.
340,127,I am a 35-year-old male of the White race. I have a four-year bachelor'sdegree and earn 31500 USD.
345,176,I am a 31-year-old male of Asian/Pacific Islander race. I completed a four-year bachelor's degree and earn 75000 USD.
350,263,I am a 34-year-old female of the White race. I completed a two-year associate degree and earn 50000 USD.
355,169,I am a 26-year-old male of Native American or American Indian descent. I have a four-year bachelor's degree and earn 34000 USD.
360,87,I am a 41-year-old male of the White race. I completed a two-year associate degree and earn 68500 USD.
365,298,I am a 31-year-old female of the White race. I have a four-year bachelor's degree and earn 60000 USD.
370,314,I am a 37-year-old female of the White race. I have a four-year bachelor's degree and earn 89000 USD.
375,152,I am a 37-year-old male of Hispanic or Latino race. I have a four-year bachelor's degree and my income is 25000 USD.
380,173,I am a 27-year-old male of Asian/Pacific Islander race. I have a four-year bachelor's degree and earn 70000 USD.
385,313,"I am a 36-year-old female of the White race. I have a four-year bachelor's degree and earn 105,000 USD."
390,359,I am a 35-year-old female of the White race. I have a postgraduate or professional degree and earn 80000 USD.
395,129,I am a 36-year-old male of the White race. I have a four-year bachelor's degree and earn 20000 USD.
400,310,I am a 34-year-old female of the White race. I have a four-year bachelor's degree and earn 100000 USD.
405,180,I am a 23-year-old male of another race. I have obtained a four-year bachelor's degree and I have an income of 55000 USD.
410,58,I am a 45-year-old male of the White race. I have completed some college but do not have a degree. I earn 40000 USD.
415,107,I am a 29-year-old male of the White race. I have a four-year bachelor's degree and earn 25000 USD.
420,196,I am a 37-year-old male/female/other of the Asian/Pacific Islander race. I have completed a postgraduate or professional degree and earn 30000 USD.
425,254,I am a 24-year-old female of the White race. I completed a two-year associate degree and earn 15000 USD.
430,28,I am a 25-year-old male of the White race. I have completed some college but no degree and earn 4000 USD.
