article_id	empathy	distress	essay	emotion	gender	education	race	age	income	personality_conscientiousness	personality_openess	personality_extraversion	personality_agreeableness	personality_stability	iri_perspective_taking	iri_personal_distress	iri_fantasy	iri_empathatic_concern	speaker_id	demographic	demographic_essay	article
67	6.5	4.375	it is really diheartening to read about these immigrants from this article who drowned.  it makes me feel anxious and upset how the whole ordeal happened.  it is a terrible occurrence that this had to happen at the mediterranean sea.  thankfully there were some survivors.  the fact that babies were lost makes it that much more emotional to read all of this	sadness	1	4	1	33	50000	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	41	I am a 33-year-old male of the White race. I have completed some college but have not obtained a degree. Currently, I earn 50000 USD.	I am a 33-year-old male of the White race. I have completed some college but have not obtained a degree. Currently, I earn 50000 USD. it is really diheartening to read about these immigrants from this article who drowned.  it makes me feel anxious and upset how the whole ordeal happened.  it is a terrible occurrence that this had to happen at the mediterranean sea.  thankfully there were some survivors.  the fact that babies were lost makes it that much more emotional to read all of this	At least 239 migrants are believed to have drowned in two shipwrecks off the coast of Libya this week, according to the United Nations refugee agency. Survivor accounts suggest that two overcrowded boats broke up just off the Libyan coast on Wednesday. The 31 survivors were taken to the Italian island of Lampedusa. If true, these shipwrecks bring the toll of dead and missing in the Mediterranean to 4,220 this year, the highest on record. Most of the migrants appear to have come from sub-Saharan Africa. The European Union is conducting a search-and-rescue operation in the western Mediterranean, but the focus remains on deterrence rather than protection. The shifting migration patterns have been a boon to smugglers, as demand has increased across the trickier North African route.
86	4.2	4.875	the phone lines from the suicide prevention line surged after the election.  it also climbed when robin williams committed suciide.  thankfully there is this prevention line to help those in need who have sucidal thoughts but we need to condition people that committing sucide is a permanent solution to a temporary problem	sadness	1	4	1	33	50000	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	41	I am a 33-year-old male of the White race. I have completed some college but have not obtained a degree. Currently, I earn 50000 USD.	I am a 33-year-old male of the White race. I have completed some college but have not obtained a degree. Currently, I earn 50000 USD. the phone lines from the suicide prevention line surged after the election.  it also climbed when robin williams committed suciide.  thankfully there is this prevention line to help those in need who have sucidal thoughts but we need to condition people that committing sucide is a permanent solution to a temporary problem	The US presidential election has led to a surge in calls to crisis and suicide prevention hotlines. The National Suicide Prevention Lifeline received a significant increase in calls, with the volume being two to three times higher than usual. The Crisis Text Line also experienced a surge in texts, with eight times the normal volume. The Trevor Project, which provides support to LGBTQ youth, saw a doubling of call volume, with more than 95% of callers discussing the election. The Trans Lifeline, which supports the transgender community, has been flooded with calls since the election, receiving more than 500 calls a day. The election results have caused panic and fear among callers, particularly regarding the potential loss of insurance and trans-affirming healthcare. These crisis hotlines are urging people to support each other, get back to routines, and limit exposure to media that exacerbates feelings of hopelessness. Acts of kindness and compassion are also encouraged to help alleviate anxiety.
206	6.5	3.5	no matter what your heritage, you should be able to serve your country.  her thai heritage shouldn't preclude her and shouldn't have been an issue in this debate.  tammy duckworth and her family should be congratulated on the services they have provided to this country.  any type of racism should not be allowed in a debate	neutral	1	4	1	33	50000	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	41	I am a 33-year-old male of the White race. I have completed some college but have not obtained a degree. Currently, I earn 50000 USD.	I am a 33-year-old male of the White race. I have completed some college but have not obtained a degree. Currently, I earn 50000 USD. no matter what your heritage, you should be able to serve your country.  her thai heritage shouldn't preclude her and shouldn't have been an issue in this debate.  tammy duckworth and her family should be congratulated on the services they have provided to this country.  any type of racism should not be allowed in a debate	Senator Mark Kirk apologized to his opponent, Representative Tammy Duckworth, after using her Thai heritage to criticize her family's military history during a debate. Duckworth accepted the apology and urged Kirk to focus on the issues. Kirk had questioned Duckworth's ties to the American Revolution, to which she responded by highlighting her family's long history of military service. Kellyanne Conway, Donald Trump's campaign manager, mocked Kirk over the incident. Duckworth, an Iraq War veteran who lost her legs and partial use of her right arm during a mission, was born in Thailand but has deep American roots. Kirk has previously faced criticism for misrepresenting his military career. Duckworth's opponents have also faced criticism for attacking her war record.
290	3.2	5.25	it is frightening to learn about all these shark attacks but these surfers should be aware of the risks associated with the sport.  relocating the sharks should be a priority and it would be in the best interest to establish a moratorium on water sports until the shark epidemic is dealt with.  closing beach in australia is a good precautionary method	fear	1	4	1	33	50000	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	41	I am a 33-year-old male of the White race. I have completed some college but have not obtained a degree. Currently, I earn 50000 USD.	I am a 33-year-old male of the White race. I have completed some college but have not obtained a degree. Currently, I earn 50000 USD. it is frightening to learn about all these shark attacks but these surfers should be aware of the risks associated with the sport.  relocating the sharks should be a priority and it would be in the best interest to establish a moratorium on water sports until the shark epidemic is dealt with.  closing beach in australia is a good precautionary method	"A man in Australia escaped with cuts to his leg after a shark collided with his surfboard near Byron Bay. The incident led to the closure of local beaches for 24 hours. The shark emerged from under the man while he was waiting for a wave, causing minor lacerations to his leg. The type of shark involved is unknown. This attack follows a similar incident in the same area a few weeks ago. The New South Wales coast has seen 14 unprovoked shark attacks in 2015, with a hotspot from Evans Head to Byron Bay. Efforts to control shark populations have been challenging, with a recent shark eco-barrier trial being canceled due to rough sea conditions. The government plans to increase tagging and relocation of sharks using ""smart drumlines"" to catch them. Shark attacks are on the rise due to the popularity of water sports and the movement of bait fish closer to shore, although fatalities are still rare."
342	6.2	4.625	the eldest generation of russians aren't being treated properly and should have some sort of financial compensation.  they are living off very little per day financially and live in poor conditions.  after paying utilities, they barely have enough for food.  health care has also taken a turn for the worse because they can't afford to get proper health treatment due to the costs involved	sadness	1	4	1	33	50000	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	41	I am a 33-year-old male of the White race. I have completed some college but have not obtained a degree. Currently, I earn 50000 USD.	I am a 33-year-old male of the White race. I have completed some college but have not obtained a degree. Currently, I earn 50000 USD. the eldest generation of russians aren't being treated properly and should have some sort of financial compensation.  they are living off very little per day financially and live in poor conditions.  after paying utilities, they barely have enough for food.  health care has also taken a turn for the worse because they can't afford to get proper health treatment due to the costs involved	"The eldest generation in Russia, known as the ""children of the war,"" are living in poverty. Despite surviving World War II and other hardships, they are struggling to make ends meet on a meager pension. The falling ruble and rising prices have made it difficult for pensioners to afford basic necessities. Many have resorted to selling apples and relying on secondhand clothing and homegrown food. Medical care is also a challenge, as the cost of treatment is often too high. The government's response has been inadequate, offering a one-time payment instead of increasing pensions. Despite these difficulties, pensioners in Oryol have found solace in a DIY school for the elderly, where they can learn new skills and find companionship. However, they still long for a better quality of life and feel frustrated by the lack of support from the government."
2	1.2	3.125	middle east is fucked up, I've honestly never heard of a middle east country such as Afganistan deporting people, the mention of it just sound funny, who the heck would want to stay in that shit hole country that has been infested with terrorists and child rapists? Perhaps those refugees are out of choice, honestly they should come to a better country such as U.S. or U.K, even though those 2 countries have their own policies regarding immigration, but I think they're quite tolerate to people from war torn countries	anger	1	6	5	24	45000	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	170	I am a 24-year-old male of Asian/Pacific Islander race. I have earned a four-year bachelor's degree and currently earn a income of 45000 USD.	I am a 24-year-old male of Asian/Pacific Islander race. I have earned a four-year bachelor's degree and currently earn a income of 45000 USD. middle east is fucked up, I've honestly never heard of a middle east country such as Afganistan deporting people, the mention of it just sound funny, who the heck would want to stay in that shit hole country that has been infested with terrorists and child rapists? Perhaps those refugees are out of choice, honestly they should come to a better country such as U.S. or U.K, even though those 2 countries have their own policies regarding immigration, but I think they're quite tolerate to people from war torn countries	"Sharbat Gula, the Afghan woman known for her striking green eyes in a National Geographic cover photo, has been arrested in Pakistan for falsifying documents and staying illegally in the country. If convicted, she could face up to 14 years in jail or deportation. Last year, Gula was arrested on similar charges but was later released. Photographer Steve McCurry, who took the iconic photo, has expressed his objection to her arrest and is committed to helping her legally and financially. The UN Refugee Agency (UNHCR) stated that they can only assist Gula if she registers as a refugee, but she falls under the category of ""undocumented migrants."" The arrest highlights the mounting pressure on Afghan refugees in Pakistan to return home, with over 370,000 Afghans being repatriated since July 1. Human Rights Watch has raised concerns about the situation, stating that millions of Afghans have sought shelter in Pakistan due to conflict and poverty in their own country."
117	1.5	2.875	well first of all whoever wrote this article doesn't know how to properly divide an article into paragraphs, which made reading this article extremely painful, but nonetheless I do know after reading the article that Zika virus tend to stay in semen and vaginal fluid for extended amount of time, so it's obvious don't mate with people who have zika virus, and don't even think about having a baby, they're going to be defective	anger	1	6	5	24	45000	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	170	I am a 24-year-old male of Asian/Pacific Islander race. I have earned a four-year bachelor's degree and currently earn a income of 45000 USD.	I am a 24-year-old male of Asian/Pacific Islander race. I have earned a four-year bachelor's degree and currently earn a income of 45000 USD. well first of all whoever wrote this article doesn't know how to properly divide an article into paragraphs, which made reading this article extremely painful, but nonetheless I do know after reading the article that Zika virus tend to stay in semen and vaginal fluid for extended amount of time, so it's obvious don't mate with people who have zika virus, and don't even think about having a baby, they're going to be defective	The Zika virus has been known to scientists for decades, but it has only recently become a serious public health concern. The majority of infected individuals do not experience symptoms, making it difficult to test for. Pregnant women are particularly at risk, as the virus can cause birth defects. Zika primarily spreads through infected mosquitoes, but it can also be transmitted through sexual contact. There is currently no vaccine or treatment for Zika, but scientists are making progress in developing them. The virus is prevalent in many countries, particularly in Africa, Asia, and the Pacific Islands. Zika was first discovered in monkeys in Uganda in 1947 and has since spread to various parts of the world. In the United States, there have been thousands of cases, with Puerto Rico being heavily affected. The CDC has issued travel warnings for Zika in many countries.
189	3.2	4.25	well well well, look at what we have well, the arrogant Kim Kardashian finally got what she deserves: being robbed for millions, the thought of it is bitter, considering it's a robbery after all, but think the other way, a rich superfluous gal as Kim, broadcasting her belongings on social media, I guess she brought this upon herself	disgust	1	6	5	24	45000	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	170	I am a 24-year-old male of Asian/Pacific Islander race. I have earned a four-year bachelor's degree and currently earn a income of 45000 USD.	I am a 24-year-old male of Asian/Pacific Islander race. I have earned a four-year bachelor's degree and currently earn a income of 45000 USD. well well well, look at what we have well, the arrogant Kim Kardashian finally got what she deserves: being robbed for millions, the thought of it is bitter, considering it's a robbery after all, but think the other way, a rich superfluous gal as Kim, broadcasting her belongings on social media, I guess she brought this upon herself	Kim Kardashian West was held at gunpoint in a robbery in Paris, where a group of men stole millions of dollars' worth of jewelry. The concierge, Abdulrahman, revealed that the robbers initially wanted money, not jewels. There was speculation that a diamond ring Kardashian West showed off on social media prompted the heist, but Abdulrahman clarified that the robber was only interested in money. After giving him the ring, the thief pocketed it and continued to demand money. Some jewels and gold were lost because the thief left the bag open. The police are still investigating, but no arrests have been made. Kardashian West has reduced her social media presence and public outings since the incident.
330	4.2	3.375	just another fucked up mental sickness of american police against its black residents, I honestly have no idea why they have to be so sensitive with their fucking guns, they shoot people as if people can respawn after being shot or something, police should think twice before taking out people's lives with no legitimate reason, I guess it's good that police have body cam, so the public can see what shame they are brining upon themselves	anger	1	6	5	24	45000	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	170	I am a 24-year-old male of Asian/Pacific Islander race. I have earned a four-year bachelor's degree and currently earn a income of 45000 USD.	I am a 24-year-old male of Asian/Pacific Islander race. I have earned a four-year bachelor's degree and currently earn a income of 45000 USD. just another fucked up mental sickness of american police against its black residents, I honestly have no idea why they have to be so sensitive with their fucking guns, they shoot people as if people can respawn after being shot or something, police should think twice before taking out people's lives with no legitimate reason, I guess it's good that police have body cam, so the public can see what shame they are brining upon themselves	"Scott Michael Greene, a 46-year-old white man, has been arrested in connection with the fatal shootings of two Des Moines-area officers. The officers, Anthony ""Tony"" Beminio and Justin Martin, were shot in an ""ambush-style attack"" while in their patrol cars. Greene was detained without incident and charged on Thursday."
368	7.0	3.125	it seems a horny male college student has finally taken up the courage not to pursue love, but to rape his potential lover, what a disgusting act and moral corruption, the amount of emotional trauma done to the female victim is permanent and she would never feel safe again, I hope he gets to sentence to jail long enough he thought through	disgust	1	6	5	24	45000	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	170	I am a 24-year-old male of Asian/Pacific Islander race. I have earned a four-year bachelor's degree and currently earn a income of 45000 USD.	I am a 24-year-old male of Asian/Pacific Islander race. I have earned a four-year bachelor's degree and currently earn a income of 45000 USD. it seems a horny male college student has finally taken up the courage not to pursue love, but to rape his potential lover, what a disgusting act and moral corruption, the amount of emotional trauma done to the female victim is permanent and she would never feel safe again, I hope he gets to sentence to jail long enough he thought through	"Alec Cook, a University of Wisconsin student, has been charged with multiple counts of sexual assault, strangulation, false imprisonment, and fourth-degree sexual assault. The charges are based on allegations from five women, with the earliest incident dating back to March 2015. Cook's arrest in October 2016 led to more women coming forward with potential information about him. Cook's lawyers have called for the public to wait for the facts before condemning him, criticizing the ""politically correct"" culture that leads to ""blind acceptance of mere accusations."""
