,speaker_id,demographic
0,30,I am a 37-year-old male of Black or African American race. I have completed a four-year bachelor's degree and earn 40000 USD.
1,19,"I am a 32-year-old male of Hispanic or Latino race. I have successfully completed a four-year bachelor’s degree, and currently earn 35000 USD."
2,17,I am a 29-year-old male of the White race. I completed a four-year bachelor's degree and earn 85000 USD.
3,16,I am a 28-year-old female of the White race. I completed a two-year associate degree and earn 50000 USD.
5,49,I am a 31-year-old male of the White race. I completed a two-year associate degree and earn 82000 USD.
7,24,I am a 38-year-old female of the White race. I have a postgraduate or professional degree and earn 42000 USD.
8,43,"I am a 33-year-old female of the White race. I completed a four-year bachelor's degree and earn 110,000 USD."
9,40,I am a 28-year-old male of the White race. I have a postgraduate or professional degree and earn 165000 USD.
10,13,I am a 25-year-old female of the White race. I have completed a four-year bachelor's degree and earn 60000 USD.
12,37,I am a 38-year-old female of Hispanic or Latino race. I completed a four-year bachelor's degree and earn 24000 USD.
13,20,I am a 33-year-old male of the White race. I completed technical/vocational school and earn 58000 USD.
15,44,I am a 46-year-old female of the White race. I have completed a four-year bachelor's degree and my income is 22000 USD.
17,45,I am a 31-year-old female of the White race. I have a four-year bachelor's degree and earn 34999 USD.
19,33,I am a 33-year-old male from a diverse background. I have completed some college but do not have a degree and earn 36000 USD.
22,48,I am a 41-year-old male of the White race. I have a four-year bachelor's degree and my annual income is 28000 USD.
23,25,"I am a 29-year-old male of the White race. I have completed some college but do not have a degree, and my income is 39000 USD."
27,56,I am a 20-year-old male of Hispanic or Latino descent. I have a high school diploma and earn 36000 USD.
30,57,I am a 47-year-old female of White race. I have a four-year bachelor's degree and earn 110000 USD.
31,23,I am a 23-year-old male of Hispanic or Latino race. I have completed some college but no degree and I earn 70000 USD.
34,5,I am a female of the African American race. I am 22 years old and have a four-year bachelor's degree. My income is 100000 USD.
42,27,I am a 46-year-old female of the White race. I have a postgraduate or professional degree and earn 41000 USD.
43,55,I am a 44-year-old female of Asian/Pacific Islander race. I have a postgraduate or professional degree and earn 70000 USD.
52,2,I am a 30-year-old male of the White race. I have a high school diploma and earn 30000 USD.
54,7,"I am a 29-year-old male, with a high school diploma and an income of 44000 USD. My race is categorized as Other."
56,53,I am a 27-year-old female of the White race. I completed a technical/vocational education level and earn 25000 USD.
61,35,I am a 33-year-old male of the Black or African American race. I hold a four-year bachelor's degree and my income is 64000 USD.
70,32,I am a 34-year-old female of the White race. I have a high school diploma and earn 50000 USD.
99,18,"I am a 40-year-old male of the White race. I completed a two-year associate degree and earn 25,000 USD."
108,14,I am a 33-year-old male of Hispanic or Latino race. I have a high school diploma and earn 78000 USD.
109,46,I am a 34-year-old male of the white race. I have a four-year bachelor’s degree and earn 68000 USD.
134,51,I am a 41-year-old male of Asian/Pacific Islander race. I have a postgraduate or professional degree and my income is 64000 USD.
142,22,I am a 34-year-old male of the White race. I have completed some college but no degree and my income is 89000 USD.
143,36,I am a 46-year-old male of the White race. I have a postgraduate or professional degree and earn 150000 USD.
