	article_id	wrong_empathy	distress	emotion	gender	education	race	age	income	personality_conscientiousness	personality_openess	personality_extraversion	personality_agreeableness	personality_stability	iri_perspective_taking	iri_personal_distress	iri_fantasy	iri_empathatic_concern	speaker_id	demographic_essay	article	empathy
862	353	6.5	4.875	sadness	1.0	2.0	1.0	30.0	25000.0	7.0	5.5	4.0	7.0	5.5	5.0	3.857	4.0	5.0	5	I am a 30-year-old male of the White race. I completed a high school diploma and earn 25000 USD. Seems like so many tragic accidents have been happening lately. I just read another article about the tragic death of a father son that took place during a hike. The both of them fell off a cliff and died recently while exploring the outdoors. There was an attempt made to recover their bodies but the exact cause was not specified. Poor souls. I pray that their family may be given strength as they discover the tragedy.	A father and son tragically died after falling off a cliff during a hike near Shaver Lake in Fresno, California. Despite efforts by deputies, a helicopter power failure prevented them from reaching the hikers. A search-and-rescue crew will be sent out to recover the bodies. The identities of the victims have not been disclosed.	6.2
397	275	3.0	2.625	fear	1.0	6.0	1.0	36.0	20000.0	4.5	5.5	1.0	5.0	6.0	3.429	2.0	2.714	3.143	129	I am a 36-year-old male of the White race. I have a four-year bachelor's degree and earn 20000 USD. This is definitely an upsetting thing that has happened. We like to think that when we go to a theme park, all the rides are completely safe and maintained well. But there is always a risk, however small, that something tragic could happen. Even in a safe environment like a well-maintained park, we need to keep up our guard and use good judgment.	Four people were killed in a river ride malfunction at Dreamworld, Australia's largest theme park. The incident occurred on the Thunder River Rapids Ride, a popular attraction that is considered tame and family-friendly. Two people were ejected from the raft, while the other two were trapped inside. The victims' identities have not been released, and authorities have not provided details about the injuries sustained. Witnesses reported seeing the ride flip and a girl being pulled from it before it overturned. Emergency services were unable to save the victims, and the park was closed for the day. The incident has deeply affected the staff and prompted an investigation by multiple agencies.	3.2
670	222	3.833	4.125	sadness	1.0	6.0	2.0	27.0	42500.0	6.5	6.0	2.0	2.0	4.0	3.571	2.857	4.0	3.429	149	I am a 27-year-old male of Hispanic or Latino origin. I have a four-year bachelor's degree and earn 42500 USD. It seem like we have enters the day where people are more sensitive to political issues that ever before. Although people may not agree with the current administration under Trump they can not falt or blame other for their personal beliefs. It is especially a shame when a mom will kick out their own child for mock voting is a manner that she find unfitting.	A mother in Fresno, Texas kicked her son out of the house after he voted for Donald Trump in a school mock election. The incident was captured on video and went viral. The mother made the child stand on a street corner with a sign explaining why he was kicked out. The case is not considered child abuse, and no charges have been filed. The mother described it as a joke.	3.2
1126	342	5.0	7.0	sadness	2.0	4.0	1.0	29.0	79000.0	7.0	7.0	7.0	7.0	7.0	5.0	1.0	5.0	4.428999999999999	225	I am a 29-year-old female of the White race. I have completed some college but no degree and earn 79000 USD. If you have gone through war, gone through hell, you should expect that when you come home to the country that you have been fighting to protect that they will take care of you in some way instead of throwing you out into the cold and basically tell you good luck. It is heartbreaking to know people out there are in poverty, but especially to know that our war veterans are treated this way.	"The eldest generation in Russia, known as the ""children of the war,"" are living in poverty. Despite surviving World War II and other hardships, they are struggling to make ends meet on a meager pension. The falling ruble and rising prices have made it difficult for pensioners to afford basic necessities. Many have resorted to selling apples and relying on secondhand clothing and homegrown food. Medical care is also a challenge, as the cost of treatment is often too high. The government's response has been inadequate, offering a one-time payment instead of increasing pensions. Despite these difficulties, pensioners in Oryol have found solace in a DIY school for the elderly, where they can learn new skills and find companionship. However, they still long for a better quality of life and feel frustrated by the lack of support from the government."	6.5
1178	154	2.833	1.25	sadness	2.0	6.0	6.0	37.0	50000.0	5.5	7.0	4.5	6.0	7.0	3.143	2.143	2.857	3.714	352	"I am a 37-year-old female of the ""Other"" race. I have obtained a four-year bachelor's degree and my income is 50000 USD. It is unfortunate that Venezuela seems to go through so much as a country due to politics. I do not know why the United States of America will not be more proactive in helping this less fortunate country. A lot of people complain about Chavez, but that seems to be when the country was the most stable."	Venezuela is currently facing political turmoil as President Nicolas Maduro's version of chavismo has brought chaos to the country and turned voters against him. The opposition has been pushing for a recall referendum to remove Maduro from power, but the government has been delaying and suspending the process. Venezuelans have taken to the streets in protest, but security forces and government sympathizers have responded violently. The military and paramilitary groups continue to support Maduro, but there are signs of cultural differences and potential divisions within the military. The opposition is calling for dialogue and negotiations, but many see it as a stalling tactic. The situation in Venezuela is uncertain and the future remains unclear.	4.2
382	312	1.0	3.75	anger	1.0	6.0	5.0	27.0	70000.0	4.5	3.0	4.0	3.5	3.5	3.571	3.286	3.429	3.714	173	I am a 27-year-old male of Asian/Pacific Islander race. I have a four-year bachelor's degree and earn 70000 USD. Why are there so many issues between the middle eastern countries and the United States? There needs to be world peace and each nation should stop trying to be the powerful dog here. I wish everyone could just get along and we wouldn't have to waste so much time with these political affairs. So many people lost lives over nonsense.	Russia has claimed that the UN aid convoy that was bombed in Syria on Monday night was escorted by terrorists, denying accusations that it was behind the attack. The convoy, which was delivering food aid to opposition-held parts of Aleppo, was hit shortly after the end of a ceasefire. The Russian defense ministry released drone footage showing a pickup truck carrying militants and a heavy mortar driving alongside the convoy before it was bombed. More than a dozen people were killed, including the director of the organization. The truce collapsed as leaders were gathered at the UN in New York to negotiate a longer-term peace plan. The US accused the Syrian government and Russia of violating the ceasefire, while Moscow accused the US-led coalition of aiding ISIS. The incident highlights the deep mistrust between the superpowers and the failure to achieve a lasting agreement to end the conflict.	6.5
1815	39	1.0	5.75	sadness	2.0	4.0	5.0	27.0	40000.0	4.0	4.0	1.0	6.0	2.5	4.2860000000000005	4.428999999999999	3.857	3.857	250	I am a 27-year-old female of different race. I have completed some college but no degree and earn 40000 USD. This story is just sad and I just feel like there should be something that we can do to prevent killings of wild animals just because they own the earth as well as we do. Just because humans are expanding and advancing in technology it does not mean that we kill and we hunt everything that we see. It is heartbreaking.	A young male wolf, part of the Huckleberry pack in Washington state, was killed by a government sniper after traveling over 700 miles in search of a mate. The wolf had been saved from extermination as a pup in 2014. He was collared in February and survived the wolf-killing fields in Idaho before being shot near Wildlife Services in Montana. The Center for Biological Diversity, along with lawyers, scientists, and activists, are fighting for the protection of wolves in states where they often face cruel deaths.	6.5
58	258	4.5	5.625	anger	1.0	7.0	1.0	47.0	54000.0	3.5	6.0	2.0	4.0	4.0	3.286	2.857	3.857	2.857	190	"I am a 47-year-old male of the White race. I have a postgraduate or professional degree and earn 54000 USD. The whole ""police violence against blacks"" theme has been overplayed to manipulate people. The fact is that there really is a problem of police feeling justified in shooting people whenever they feel threatened, but this doesn't just happen to blacks. I can think of four cases off the top of my head where innocent unarmed white men were killed by police. One of them was the recent case where the guy who died was the victim of ""swatting"". He wasn't involved in an crime at all, but the police burst into his house with guns blazing and he died. And the cop won't be prosecuted. I hope that blacks who care about this issue will realize they are being manipulated and will join forces with others who don't want to live in a police state."	Protests erupted in Charlotte, North Carolina after a black man was fatally shot by a police officer. Around 16 police officers were injured during clashes with protesters, who looted trucks and set fire to cargo on a highway. The shooting occurred when officers were trying to serve an arrest warrant, claiming that the man posed a deadly threat. However, the man's family disputes this, stating that he was unarmed and holding a book. The incident has reignited scrutiny of the police department, which previously faced controversy over the shooting of an unarmed black man. This shooting is the latest in a series of incidents that have sparked outrage and debate about race relations and law enforcement. The police department is currently conducting an investigation into the shooting.	3.2
1333	184	2.333	2.5	neutral	1.0	6.0	1.0	32.0	50000.0	5.0	4.5	4.5	4.5	6.0	3.286	3.571	3.143	3.429	116	I am a 32-year-old male of the White race. I have a four-year bachelor's degree and earn 50000 USD. I have never heard of sleep paralysis but it doesn't sound like a particularly dangerous disorder. We all undergo a state of unconsciousness during sleep where we dream and cannot control certain things in the dream. But this seems to be an extension of dreaming where your brain becomes out of synch with your body. I suspect this may something to do with stress and mental health problems	Sleep paralysis is a common sleep problem that affects around 8% of the population. It occurs when a person is awake and conscious but unable to move, except for their eyes. Sleep paralysis often involves nightmares or hallucinations and can last from a few seconds to a few minutes. The causes of sleep paralysis are not fully understood, but stress and disruptions to sleep, such as alcohol or caffeine, can increase the risk. It can also be a symptom of other sleep disorders and mental health conditions. Kendall Jenner discussed her struggles with sleep paralysis, which may be linked to her anxiety and jet lag. Sleep paralysis is more common in people with mental health problems and young adults. For most people, it is not a chronic condition, but some individuals experience recurrent episodes. Practicing good sleep behaviors, such as avoiding alcohol and caffeine and sleeping on your side, can help prevent sleep paralysis. If it becomes a problem, a specialist may be able to prescribe medications to suppress REM sleep and alleviate symptoms.	3.2
588	7	1.0	1.0	neutral	1.0	2.0	1.0	34.0	25000.0	6.5	5.0	2.0	4.5	2.0	2.143	3.143	3.0	1.429	10	I am a 34-year-old male of the White race. I completed a high school diploma and earn 25000 USD. There was more bombing over in Syria in the news over the weekend.  There were over 300 casualties including small children.  A father and son were found dead in the rubble as well as two boys whose mother survived in an adjoining room. It seems like the violence in the Middle East is never ending.	"Last weekend, Aleppo was hit by 200 airstrikes, resulting in the death of over 300 people. Among the victims were Brahim Sawas and his 10-year-old son, Mahmoud, who were covered in blood and dust. Another image showed Sawas' 8-month-old baby buried under rubble. Sawas' wife and daughter survived the airstrike. Activists took to Twitter to share pictures and videos, describing the bombings as a ""Holocaust."""	6.5
