	speaker_id	demographic
0	30	I am a 37-year-old male of the African American race. I have a four-year bachelor's degree and earn 40000 USD.
1	19	I am a 32-year-old male of Hispanic or Latino race. I have completed a four-year bachelor's degree, and my annual income is 35000 USD.
2	17	I am a 29-year-old male of the White race. I completed a four-year bachelor's degree and my yearly income is 85000 USD.
3	16	I am a 28-year-old female of the White race. I have completed a two-year associate degree and I earn 50000 USD.
5	49	I am a 31-year-old male of the White race. I completed a two-year associate degree and earn 82000 USD.
7	24	I am a 38-year-old female of the White race. I possess a postgraduate or professional degree and earn 42000 USD.
8	43	I am a 33-year-old female of the White race. I have a four-year bachelor's degree and my income is 110000 USD.
10	40	I am a 28-year-old, Caucasian female and I have a postgraduate or professional degree. My annual income is 165,000 USD.
11	13	I am a 25-year-old female of the White race. I have a four-year bachelor's degree and my annual income is 60000 USD.
13	37	I am a 38-year-old female of Hispanic or Latino race. I have a four-year bachelor's degree and earn an income of 24000 USD.
14	20	I am a 33-year-old male of the White race. I have completed technical/vocational school and earn 58000 USD.
16	44	I am a 46-year-old female of the White race. I have a four-year bachelor's degree and earn 22000 USD.
18	45	I am a 31-year-old female of the White race. I have completed a four-year bachelor's degree and earn 34999 USD.
20	33	I am a 33-year-old male of other gender identity. I have completed some college but no degree and earn 36000 USD.
23	48	I am a 41-year-old male of the White race. I have completed a four-year bachelor's degree and earn 28000 USD.
24	25	I am a 29-year-old male of the White race. I have completed some college but do not have a degree. I earn 39,000 USD.
28	56	I am a 20-year-old male of Hispanic or Latino race. I have a high school diploma and earn 36000 USD.
31	57	I am a 47-year-old female of the White race. I have a four-year bachelor's degree and my income is 110000 USD.
32	23	I am a 23-year-old male, identified as other, with a high school education. I classify as Hispanic or Latino and my income is 70000 USD.
35	5	I am a 22-year-old female of the Black or African American race. I have a four-year bachelor's degree and earn 100,000 USD.
43	27	I am a 46-year-old female of the White race. I have a postgraduate or professional degree and earn 41000 USD. 
44	55	I am a 44-year-old female of Asian/Pacific Islander race. I have a postgraduate or professional degree of education level and earn 70000 USD.
54	2	I am a 30-year-old male of the White race. I have a high school diploma and my income is 30000 USD.
56	7	"I am a 29-year-old male of the ""other"" gender. I completed a high school diploma and earn 44000 USD."
58	53	I am a 27-year-old female of the White race. I completed technical/vocational school and earn 25000 USD.
63	35	I am a 33-year-old male of the Black or African American race. I completed a four-year bachelor's degree and earn 64000 USD.
72	32	I am a 34-year-old female of the White race. I have a high school diploma and my income is 50000 USD.
101	18	I am a 40-year-old male of the white race. I have completed a two-year associate degree and earn 25000 USD.
110	14	I am a 33-year-old male of Hispanic or Latino ethnicity. I have a high school diploma and earn an income of 78000 USD.
111	46	I am a 34-year-old male of the White race. I completed a four-year bachelor's degree and earn 68000 USD.
136	51	I identify as a 41-year-old male of Asian/Pacific Islander race. I have completed a level of education higher than a high school diploma, attaining a postgraduate or professional degree. My annual income is 64000 USD.
144	22	I am a 34-year-old male of the White race. I have completed some college but have not obtained a degree, and my current income is 89000 USD.
145	36	I am a 46-year-old male of the White race. I have a postgraduate or professional degree and earn a salary of 150000 USD.
156	15	I am a 30-year-old male of the White race. I completed a two-year associate degree and earn 10000 USD.
164	41	I am a 42-year-old male of the White race. I have completed a four-year bachelor's degree and my annual income is 25000 USD.
179	3	I am a 55-year-old female of a race other than White, who has a four-year bachelor's degree. I earn 70000 USD.
222	50	I am a 30-year-old female of the White race. I have a four-year bachelor's degree and earn 55000 USD.
239	38	I am a 35-year-old female of the White race. I have a four-year bachelor's degree and earn 148000 USD.
241	8	I am a 62-year-old female of the White race. I have obtained a four-year bachelor's degree and earn 29000 USD.
260	6	I am a 28-year-old female of the White race. I have completed some college but no degree and earn 21000 USD.
281	34	I am a 45-year-old female of the White race. I have completed some college but no degree and earn 52000 USD.
283	52	I am a 30-year-old male of the White race. I completed a four-year bachelor's degree and earn 5000 USD.
375	9	I am a 47-year-old male of the White race. I completed a four-year bachelor's degree and earn 105000 USD.
379	42	I am a 45-year-old male of the White race. I have completed some college but no degree and earn 40000 USD.
383	0	I am a 26-year-old female of the White race. I have a four-year bachelor's degree and earn 65000 USD.
406	58	I am a 28-year-old female of Hispanic or Latino race. I hold a four-year bachelor's degree and earn 35000 USD.
414	10	I am a 33-year-old male of the Black or African American race. I have a four-year bachelor's degree and earn 63000 USD.
419	12	I am a 28-year-old male of the White race. I have completed a postgraduate or professional degree and earn 105000 USD.
424	29	I am a 40-year-old female of the White race. I have accomplished a four-year bachelor's degree and I currently earn 80000 USD.
431	47	I am a 37-year-old female of the White race. I have a four-year bachelor's degree and earn 135000 USD.
473	11	I am a 40-year-old male of the White race. I have obtained a four-year bachelor's degree and my yearly income is 140,000 USD.
480	1	I am a 30-year-old male of the White race. I completed a high school diploma and earn 55000 USD.
534	4	I am a 58-year-old female of the White race. I completed a two-year associate degree and earn 28000 USD.
545	28	I am a 34-year-old male of Asian/Pacific Islander race. I have attained a four-year bachelor's degree and currently earn a income of 36000 USD.
556	39	I am a 34-year-old female of the Black or African American race. I have completed some college but no degree and earn 34000 USD.
767	21	I am a 37-year-old male of the White race. I have obtained a postgraduate or professional degree and currently earn 30000 USD.
768	54	I am a 32-year-old male of the White race. I hold a four-year bachelor's degree and earn 50000 USD.
